Year	Fossil Emissions (Pg C/yr)
1765	0.003
1766	0.003
1767	0.003
1768	0.003
1769	0.003
1770	0.003
1771	0.004
1772	0.004
1773	0.004
1774	0.004
1775	0.004
1776	0.004
1777	0.004
1778	0.004
1779	0.004
1780	0.004
1781	0.005
1782	0.005
1783	0.005
1784	0.005
1785	0.005
1786	0.005
1787	0.005
1788	0.005
1789	0.005
1790	0.005
1791	0.006
1792	0.006
1793	0.006
1794	0.006
1795	0.006
1796	0.006
1797	0.007
1798	0.007
1799	0.007
1800	0.008
1801	0.008
1802	0.010
1803	0.009
1804	0.009
1805	0.009
1806	0.010
1807	0.010
1808	0.010
1809	0.010
1810	0.010
1811	0.011
1812	0.011
1813	0.011
1814	0.011
1815	0.012
1816	0.013
1817	0.014
1818	0.014
1819	0.014
1820	0.014
1821	0.014
1822	0.015
1823	0.016
1824	0.016
1825	0.017
1826	0.017
1827	0.018
1828	0.018
1829	0.018
1830	0.024
1831	0.023
1832	0.023
1833	0.024
1834	0.024
1835	0.025
1836	0.029
1837	0.029
1838	0.030
1839	0.031
1840	0.033
1841	0.034
1842	0.036
1843	0.037
1844	0.039
1845	0.043
1846	0.043
1847	0.046
1848	0.047
1849	0.050
1850	0.054
1851	0.054
1852	0.057
1853	0.059
1854	0.069
1855	0.071
1856	0.076
1857	0.077
1858	0.078
1859	0.083
1860	0.091
1861	0.095
1862	0.097
1863	0.104
1864	0.112
1865	0.119
1866	0.122
1867	0.130
1868	0.135
1869	0.142
1870	0.147
1871	0.156
1872	0.173
1873	0.184
1874	0.174
1875	0.188
1876	0.191
1877	0.195
1878	0.196
1879	0.210
1880	0.236
1881	0.243
1882	0.256
1883	0.272
1884	0.275
1885	0.277
1886	0.281
1887	0.295
1888	0.327
1889	0.327
1890	0.356
1891	0.372
1892	0.374
1893	0.370
1894	0.383
1895	0.406
1896	0.419
1897	0.440
1898	0.465
1899	0.507
1900	0.534
1901	0.552
1902	0.566
1903	0.617
1904	0.624
1905	0.663
1906	0.707
1907	0.784
1908	0.750
1909	0.785
1910	0.819
1911	0.836
1912	0.879
1913	0.943
1914	0.850
1915	0.838
1916	0.901
1917	0.955
1918	0.936
1919	0.806
1920	0.932
1921	0.803
1922	0.845
1923	0.970
1924	0.963
1925	0.975
1926	0.983
1927	1.062
1928	1.065
1929	1.145
1930	1.053
1931	0.940
1932	0.847
1933	0.893
1934	0.973
1935	1.027
1936	1.130
1937	1.209
1938	1.142
1939	1.192
1940	1.299
1941	1.334
1942	1.342
1943	1.391
1944	1.383
1945	1.160
1946	1.238
1947	1.392
1948	1.469
1949	1.419
1950	1.630
1951	1.768
1952	1.796
1953	1.841
1954	1.865
1955	2.043
1956	2.178
1957	2.270
1958	2.330
1959	2.462
1960	2.577
1961	2.594
1962	2.700
1963	2.848
1964	3.008
1965	3.145
1966	3.305
1967	3.411
1968	3.588
1969	3.800
1970	4.076
1971	4.231
1972	4.399
1973	4.635
1974	4.644
1975	4.615
1976	4.883
1977	5.029
1978	5.105
1979	5.387
1980	5.332
1981	5.168
1982	5.127
1983	5.110
1984	5.290
1985	5.444
1986	5.610
1987	5.753
1988	5.964
1989	6.089
1990	6.144
1991	6.235
1992	6.118
1993	6.124
1994	6.242
1995	6.372
1996	6.510
1997	6.619
1998	6.588
1999	6.569
2000	6.735
2001	6.896
2002	6.949
2003	7.286
2004	7.672
2005	7.971
2006	8.162
2007	8.352
2008	8.543
2009	8.735
2010	8.926
2011	9.187
2012	9.448
2013	9.709
2014	9.970
2015	10.232
2016	10.493
2017	10.754
2018	11.015
2019	11.276
2020	11.538
2021	11.768
2022	11.998
2023	12.228
2024	12.458
2025	12.688
2026	12.918
2027	13.149
2028	13.379
2029	13.609
2030	13.839
2031	14.134
2032	14.429
2033	14.723
2034	15.018
2035	15.313
2036	15.608
2037	15.902
2038	16.197
2039	16.492
2040	16.787
2041	17.128
2042	17.470
2043	17.812
2044	18.154
2045	18.496
2046	18.837
2047	19.179
2048	19.521
2049	19.863
2050	20.205
2051	20.544
2052	20.883
2053	21.222
2054	21.561
2055	21.900
2056	22.240
2057	22.579
2058	22.918
2059	23.257
2060	23.596
2061	23.833
2062	24.069
2063	24.306
2064	24.543
2065	24.779
2066	25.016
2067	25.252
2068	25.489
2069	25.726
2070	25.962
2071	26.107
2072	26.251
2073	26.395
2074	26.540
2075	26.684
2076	26.829
2077	26.973
2078	27.117
2079	27.262
2080	27.406
2081	27.499
2082	27.592
2083	27.685
2084	27.778
2085	27.871
2086	27.964
2087	28.058
2088	28.151
2089	28.244
2090	28.337
2091	28.377
2092	28.417
2093	28.458
2094	28.498
2095	28.538
2096	28.579
2097	28.619
2098	28.659
2099	28.700
2100	28.740
